Airline,Flight #,Origin,ETA,Gate #,Status,AirlineCode,AirportCode,ScheduledDate,ScheduledTime,EstimatedDate,OriginDestAirport,BoardingGate,EstimatedTime,Remarks,FlightNumber
https://www.ind.com/assets/images/airlines/dl.png,DL 2415,Minneapolis-St. Paul,6:55 pm,A8,Arrived,DL,IND,20250415,1855,20250415,Minneapolis-St. Paul,A8,1855,Arr,2415
https://www.ind.com/assets/images/airlines/ua.png,UA 1403,San Francisco,6:20 pm,A17,Arrived,UA,IND,20250415,1820,20250415,San Francisco,A17,1820,Arr,1403
https://www.ind.com/assets/images/airlines/g4.png,G4 604,Jacksonville,6:27 pm,B3,Arrived,G4,IND,20250415,1827,20250415,Jacksonville,B3,1827,Arr,604
https://www.ind.com/assets/images/airlines/ua.png,UA 3573,Newark,7:09 pm,A25,Arrived,UA,IND,20250415,1909,20250415,Newark,A25,1909,Arr,3573
https://www.ind.com/assets/images/airlines/aa.png,AA 3689,Chicago/O'Hare,6:37 pm,B6,Arrived,AA,IND,20250415,1837,20250415,Chicago/O'Hare,B6,1837,Arr,3689
https://www.ind.com/assets/images/airlines/dl.png,DL 3120,Atlanta,6:36 pm,A6,Arrived,DL,IND,20250415,1836,20250415,Atlanta,A6,1836,Arr,3120
https://www.ind.com/assets/images/airlines/nk.png,NK 424,Orlando Int'l,6:39 pm,A20,Arrived,NK,IND,20250415,1839,20250415,Orlando Int'l,A20,1839,Arr,424
https://www.ind.com/assets/images/airlines/wn.png,WN 2932,San Diego,7:12 pm,B21,Arrived,WN,IND,20250415,1912,20250415,San Diego,B21,1912,Arr,2932
https://www.ind.com/assets/images/airlines/wn.png,WN 2156,Fort Myers,7:15 pm,B20,Arrived,WN,IND,20250415,1915,20250415,Fort Myers,B20,1915,Arr,2156
https://www.ind.com/assets/images/airlines/ua.png,UA 3585,Wash. Dulles,7:28 pm,A24,Arrived,UA,IND,20250415,1928,20250415,Wash. Dulles,A24,1928,Arr,3585
https://www.ind.com/assets/images/airlines/aa.png,AA 3108,Dallas-Ft. Worth,7:34 pm,B9,Arrived,AA,IND,20250415,1934,20250415,Dallas-Ft. Worth,B9,1934,Arr,3108
https://www.ind.com/assets/images/airlines/g4.png,G4 592,Las Vegas,7:23 pm,B4,Arrived,G4,IND,20250415,1923,20250415,Las Vegas,B4,1923,Arr,592
https://www.ind.com/assets/images/airlines/g4.png,G4 621,Punta Gorda,7:33 pm,B3,Arrived,G4,IND,20250415,1933,20250415,Punta Gorda,B3,1933,Arr,621
https://www.ind.com/assets/images/airlines/aa.png,AA 4501,Washington DC,7:59 pm,RME,Arrived,AA,IND,20250415,1959,20250415,Washington DC,RME,1959,Arr,4501
https://www.ind.com/assets/images/airlines/wn.png,WN 372,Baltimore,8:10 pm,B22,Arrived,WN,IND,20250415,2010,20250415,Baltimore,B22,2010,Arr,372
https://www.ind.com/assets/images/airlines/ua.png,UA 3628,Chicago/O'Hare,7:42 pm,A25,Arrived,UA,IND,20250415,1942,20250415,Chicago/O'Hare,A25,1942,Arr,3628
https://www.ind.com/assets/images/airlines/ua.png,UA 6031,Houston,8:01 pm,A17,Arrived,UA,IND,20250415,2001,20250415,Houston,A17,2001,Arr,6031
https://www.ind.com/assets/images/airlines/dl.png,DL 5635,New York/LGA,8:04 pm,A13,Arrived,DL,IND,20250415,2004,20250415,New York/LGA,A13,2004,Arr,5635
https://www.ind.com/assets/images/airlines/dl.png,DL 4914,New York/JFK,8:49 pm,A12,Arrived,DL,IND,20250415,2049,20250415,New York/JFK,A12,2049,Arr,4914
https://www.ind.com/assets/images/airlines/aa.png,AA 4557,Philadelphia,9:05 pm,B16,Arrived,AA,IND,20250415,2105,20250415,Philadelphia,B16,2105,Arr,4557
https://www.ind.com/assets/images/airlines/aa.png,AA 4740,Chicago/O'Hare,8:47 pm,B14,Arrived,AA,IND,20250415,2047,20250415,Chicago/O'Hare,B14,2047,Arr,4740
https://www.ind.com/assets/images/airlines/aa.png,AA 4586,New York/JFK,9:08 pm,RME,Arrived,AA,IND,20250415,2108,20250415,New York/JFK,RME,2108,Arr,4586
https://www.ind.com/assets/images/airlines/dl.png,DL 5319,Detroit,9:09 pm,A15,Arrived,DL,IND,20250415,2109,20250415,Detroit,A15,2109,Arr,5319
https://www.ind.com/assets/images/airlines/wn.png,WN 6407,Fort Myers,9:38 pm,,Arrived,WN,IND,20250415,2138,20250415,Fort Myers,,2138,Arr,6407
https://www.ind.com/assets/images/airlines/dl.png,DL 5761,New York/LGA,9:33 pm,A8,Arrived,DL,IND,20250415,2133,20250415,New York/LGA,A8,2133,Arr,5761
https://www.ind.com/assets/images/airlines/dl.png,DL 2805,Atlanta,10:23 pm,A14,Arrived,DL,IND,20250415,2223,20250415,Atlanta,A14,2223,Arr,2805
https://www.ind.com/assets/images/airlines/aa.png,AA 648,Charlotte,10:33 pm,B10,Arrived,AA,IND,20250415,2233,20250415,Charlotte,B10,2233,Arr,648
https://www.ind.com/assets/images/airlines/dl.png,DL 5616,Boston,9:40 pm,A11,Arrived,DL,IND,20250415,2140,20250415,Boston,A11,2140,Arr,5616
https://www.ind.com/assets/images/airlines/aa.png,AA 4427,New York/LGA,9:42 pm,HGR,Arrived,AA,IND,20250415,2142,20250415,New York/LGA,HGR,2142,Arr,4427
https://www.ind.com/assets/images/airlines/wn.png,WN 2199,Denver,10:35 pm,,Arrived,WN,IND,20250415,2235,20250415,Denver,,2235,Arr,2199
